pt,en,categoria
mesa,table,objetos e itens
cadeira,chair,objetos e itens
televisão,television,objetos e itens
livro,book,objetos e itens
relógio,clock,objetos e itens
geladeira,refrigerator,objetos e itens
mesa de trabalho,work desk,objetos e itens
cama,bed,objetos e itens
banheiro,bathroom,objetos e itens
lareira,fireplace,objetos e itens
armário,cabinet,objetos e itens
jantar,to have lunch,objetos e itens
varal,clothes line,objetos e itens
velha,old,objetos e itens
tinta,ink,objetos e itens
luvas,gloves,objetos e itens
lâmpada,light bulb,objetos e itens
móvel,mobile,objetos e itens
sapato,shoe,objetos e itens
bolsa,bag,objetos e itens
lençol,sheet,objetos e itens
colcha,quilt,objetos e itens
cesto,basket,objetos e itens
vaso,vase,objetos e itens
mesa de noite,evening table,objetos e itens
toalha,towel,objetos e itens
guarda-roupa,closet,objetos e itens
têxtil,textile,objetos e itens
cadeira rodante,wheelchair,objetos e itens
cadeira de madeira,wooden chair,objetos e itens
prateleira,shelf,objetos e itens
balanço,balance,objetos e itens
guarda-chuva,umbrella,objetos e itens
saco,bag,objetos e itens
mesa de jantar,dining table,objetos e itens
mesa baixa,low table,objetos e itens
computador,computer,tecnologia
smartphone,smartphone,tecnologia
internet,internet,tecnologia
aplicativo,application,tecnologia
redes sociais,social media,tecnologia
wi-fi,wi-fi,tecnologia
tecnologia da informação,information technology,tecnologia
software,software,tecnologia
jogos eletrônicos,video games,tecnologia
tablet,tablet,tecnologia
hardware,hardware,tecnologia
navegador,browser,tecnologia
programa,program,tecnologia
criptografia,cryptography,tecnologia
segurança digital,digital security,tecnologia
robótica,robotics,tecnologia
drone,drone,tecnologia
3d,3d,tecnologia
impressora,printer,tecnologia
fax,fax,tecnologia
scan,scan,tecnologia
e-mail,e-mail,tecnologia
blog,blog,tecnologia
chat,chat,tecnologia
streaming,streaming,tecnologia
playlist,playlist,tecnologia
vídeo game,video game,tecnologia
bate-papo,chat,tecnologia
podcast,podcast,tecnologia
teleconferência,teleconference,tecnologia
praia de copacabana,copacabana beach,lugares e viagens
iguaçu falls,iguazu falls,lugares e viagens
foz do iguaçu,iguazu falls,lugares e viagens
cristo redentor,christ the redeemer,lugares e viagens
estátua da luz,statue of light,lugares e viagens
morro de são paulo,st paul's hill,lugares e viagens
brasília,brasilia,lugares e viagens
lençóis maranhenses,lençóis maranhenses,lugares e viagens
amazonas,amazonas,lugares e viagens
paraty,paraty,lugares e viagens
ilha grande,big island,lugares e viagens
fernando de noronha,fernando de noronha,lugares e viagens
recife,reef,lugares e viagens
olinda,olinda,lugares e viagens
salvador,savior,lugares e viagens
chapada diamantina,chapada diamantina,lugares e viagens
serra dos órgãos,serra dos órgãos,lugares e viagens
bonito,beautiful,lugares e viagens
pantanal,pantanal,lugares e viagens
chapada dos veadeiros,chapada dos veadeiros,lugares e viagens
jericoacoara,jericoacoara,lugares e viagens
florianópolis,florianópolis,lugares e viagens
ilhabela,ilhabela,lugares e viagens
ônibus,bus,transporte
trem,train,transporte
carro,car,transporte
avião,plane,transporte
motorcycleta,motorcycle,transporte
barco,boat,transporte
navio,ship,transporte
cargueiro,freighter,transporte
pequeno porte aéreo,small aircraft,transporte
helicóptero,helicopter,transporte
táxi,taxi,transporte
remorqueiro,rowboat,transporte
veleiro,sailboat,transporte
metrô,subway,transporte
bondes,streetcars,transporte
bicicleta,bicycle,transporte
monotrilho,monorail,transporte
trem interurbano,intercity train,transporte
ônibus expresso,express bus,transporte
ciclomotor,moped,transporte
trens de passageiros,passenger trains,transporte
transporte público,public transport,transporte
transporte privado,private transport,transporte
transporte coletivo,public transportation,transporte
transporte individual,individual transportation,transporte
ações e verbos
agua,wather,tempo
andar,actions and verbs
